City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tura,25.5198,90.2201,81.84,28,0,5.95,IN,1613285798
sentyabrskiy,,,,,,,,
taolanaro,,,,,,,,
nome,64.5011,-165.4064,17.6,62,1,10.36,US,1613285799
tampa,27.9475,-82.4584,71.01,83,90,6.91,US,1613285591
bredasdorp,-34.5322,20.0403,71.6,64,3,5.75,ZA,1613285799
nazca,-14.8333,-74.95,67.41,68,28,0.29,PE,1613285799
gat,31.61,34.7642,60.01,36,0,0.56,IL,1613285799
iquitos,-3.7481,-73.2472,77,94,75,1.14,PE,1613285799
dikson,73.5069,80.5464,-16.13,89,100,12.17,RU,1613285799
atuona,-9.8,-139.0333,78.62,80,8,17.18,PF,1613285799
jimma,7.6667,36.8333,81.61,31,1,2.28,ET,1613285800
woodward,36.4337,-99.3904,8.6,78,90,5.75,US,1613285800
aksu,41.1231,80.2644,48.22,47,54,9.31,CN,1613285800
upernavik,72.7868,-56.1549,7.39,94,100,11.65,GL,1613285800
busselton,-33.65,115.3333,91.99,26,28,1.01,AU,1613285800
comodoro rivadavia,-45.8667,-67.5,60.8,67,0,3.44,AR,1613285800
anadyr,64.75,177.4833,12.2,85,75,8.95,RU,1613285800
saint-philippe,-21.3585,55.7679,86,62,0,26.46,RE,1613285800
victoria,22.2855,114.1577,75.99,67,6,4,HK,1613285773
rikitea,-23.1203,-134.9692,79.77,78,9,13.58,PF,1613285801
mataura,-46.1927,168.8643,61.66,68,100,0.78,NZ,1613285801
hasaki,35.7333,140.8333,66,48,75,10.36,JP,1613285801
new norfolk,-42.7826,147.0587,72,42,0,3,AU,1613285801
punta arenas,-53.15,-70.9167,41,81,75,17.27,CL,1613285801
castro,-24.7911,-50.0119,61.39,94,100,3.22,BR,1613285801
isangel,-19.55,169.2667,86,70,40,3.38,VU,1613285801
huancavelica,-12.7667,-74.9833,33.26,91,67,3.71,PE,1613285801
talnakh,69.4865,88.3972,-23.13,84,100,2.86,RU,1613285801
nkayi,-4.1841,13.2884,77.2,89,95,1.23,CG,1613285802
port hedland,-20.3167,118.5667,91.4,46,0,14.97,AU,1613285802
cape town,-33.9258,18.4232,70,94,75,8.05,ZA,1613285802
vao,-22.6667,167.4833,80.62,65,0,2.89,NC,1613285802
tabas,33.5959,56.9244,60.8,18,0,2.3,IR,1613285802
husavik,66.0449,-17.3389,37.4,70,90,6.91,IS,1613285802
lasa,46.6166,10.7002,21.2,78,0,6.91,IT,1613285802
sampit,-2.5333,112.95,94.33,44,51,3.53,ID,1613285657
ushuaia,-54.8,-68.3,41,81,40,5.75,AR,1613285772
fort nelson,58.8053,-122.7002,1.4,66,1,9.22,CA,1613285803
attawapiskat,,,,,,,,
diamantino,-14.4086,-56.4461,73.04,92,100,3.04,BR,1613285803
pervoye maya,56.164,44.7196,-0.4,85,0,8.95,RU,1613285803
zima,53.9202,102.0442,3.72,93,100,4.05,RU,1613285803
north bend,43.4065,-124.2243,46.4,93,90,6.91,US,1613285803
kargopol,61.5071,38.9456,-4.43,89,99,9.01,RU,1613285803
tiksi,71.6872,128.8694,-13.81,90,100,9.37,RU,1613285803
hobart,-42.8794,147.3294,72,63,20,18.41,AU,1613285776
butaritari,3.0707,172.7902,80.78,80,98,14.63,KI,1613285803
thompson,55.7435,-97.8558,-16.6,76,90,4.61,CA,1613285804
emba,48.8264,58.1442,28.42,94,100,5.48,KZ,1613285804
